Income,Credit_Score,Debt_Ratio,Default
141958,460,0.1397723766262895,1
35795,555,0.7952673118598902,0
20860,622,0.20162732004774453,0
123694,427,0.1636559428657045,0
148106,317,0.16426579793099294,0
139879,622,0.8145747202313821,0
130268,587,0.6651972206962001,0
96820,454,0.5230654247691193,1
74886,789,0.3588304841235025,1
26265,685,0.8772005408131083,1
102386,403,0.3924451074226354,0
148214,692,0.8165994394715771,1
57194,545,0.4391349085702184,0
107498,475,0.3769444294249076,0
132727,338,0.46267978566960644,1
146324,776,0.3013778741641421,0
64131,837,0.7476093801762511,0
80263,707,0.5027203900924792,1
36023,824,0.2322126951468173,1
61090,805,0.8995745732745685,1
87221,335,0.3838912213732114,0
84820,319,0.5435528611139886,1
20769,620,0.9064721109645469,1
79735,811,0.6242379959139921,0
82955,699,0.11689804070836407,1
84925,770,0.9398321236134751,1
141637,442,0.6277080530714179,1
87969,391,0.3349056146570861,0
25311,653,0.13927207266338726,0
123355,350,0.794025189270296,0
124724,489,0.6200727559285135,0
103104,424,0.5334610919763215,1
73707,449,0.8938925830509576,0
105305,613,0.7885972112245307,0
48693,641,0.15167487973275118,1
91932,604,0.31172206779554823,1
147723,353,0.24848913981446574,1
113016,743,0.743946292572677,0
126970,563,0.03353243473577938,0
45658,352,0.5698896848713165,0
104478,304,0.7624586857406905,1
142537,402,0.8767656367617495,1
38431,495,0.34208174871590746,0
22747,649,0.8212573046720129,1
143855,346,0.11063173695520723,1
79150,568,0.8464522917345182,1
85725,669,0.12748866233198242,0
149981,405,0.39728729056036727,1
104654,419,0.7972953657795536,1
55773,357,0.14991742734877378,0
139346,645,0.22925139523264149,0
87435,773,0.7222525683930663,1
76886,416,0.7200365365460744,1
86803,426,0.6411476328852973,0
51551,692,0.6939484444671,0
136216,357,0.5427244433475962,1
31394,812,0.25179905890695276,1
89092,395,0.34569599350391944,1
23890,417,0.18159771680142567,1
61606,787,0.9084505613336283,0
116276,536,0.5833917947661205,1
145768,571,0.4008514167636399,1
100038,488,0.4620058036441327,0
107313,746,0.9472833396118153,1
30627,546,0.1533514031160802,0
28792,375,0.5862298320167972,1
128859,453,0.505888678884466,1
128557,734,0.6114542354346478,0
93969,385,0.01811018382084051,0
63001,584,0.8721239089441515,1
96552,519,0.9321182824836124,1
43897,368,0.5651331835892089,1
88148,346,0.6966508238768923,0
141729,393,0.9224993811772957,1
144243,752,0.7072386343133986,0
140923,503,0.15253904291426135,0
140174,517,0.5762883601668132,1
43483,773,0.6067150463828559,0
144358,731,0.424130671302386,1
68555,640,0.7364442356247228,1
145436,588,0.9343670147690148,1
37159,553,0.9255685129067763,1
130510,656,0.4508393714041321,1
126530,322,0.11323804584075525,0
100077,821,0.9848411989623346,0
55920,399,0.8388980864459341,1
112067,479,0.12466268120326685,1
87121,522,0.9208418826173723,0
89479,741,0.8698963620621283,0
109475,624,0.5188380571260721,0
39457,815,0.5912754357449292,0
86557,315,0.39900270387013026,1
97189,635,0.05476163882203133,1
129109,557,0.3351972416459009,0
98953,796,0.8028534485980114,1
72995,459,0.004632023004602859,0
60757,774,0.3334991716911442,1
29692,679,0.3981686935909433,0
65758,844,0.5373956029379229,1
149425,726,0.9198556164127605,0
92409,567,0.34634599436596125,0
91211,716,0.3469532018962277,1
85697,467,0.7375012481097484,0
57065,342,0.45221794088980716,1
112093,584,0.22460482293998196,1
119299,696,0.4524395161326934,0
149293,311,0.14085702037979986,1
52606,601,0.1763869865062233,1
147791,552,0.49836777273947974,1
31534,798,0.4189254495045479,1
114663,334,0.9148459010681,1
60397,389,0.3623938991166331,0
146678,717,0.5805883502780435,1
111387,414,0.6322642879195304,1
21016,495,0.013094456588333636,1
109789,800,0.6635373720167106,1
75591,792,0.17803596686975143,1
109812,374,0.9610703174694551,0
43247,712,0.14866272775311296,1
44300,675,0.41462412372702373,0
94065,719,0.08534966807864386,0
102798,576,0.9968742518459474,0
29268,693,0.5021950103312426,0
106807,756,0.5953850173200438,1
32185,491,0.06707647738842748,0
83704,398,0.7499604703991778,0
106779,847,0.20990559309558576,1
59099,395,0.8980542894407137,1
28571,489,0.20513964048200717,1
143372,336,0.19068772066366657,0
125512,668,0.03654966784809488,1
58044,824,0.47206694510999925,1
71214,578,0.5648411332626164,0
81228,516,0.06570863942835237,1
134752,572,0.7755276166950106,1
68984,361,0.4532888347480276,1
60774,641,0.52439026932758,1
22568,696,0.44076274693822814,0
140151,318,0.400763060875326,1
82592,476,0.5596403313082179,1
87563,695,0.1552402459307125,0
22695,744,0.18192813049527112,1
144375,532,0.8617856210135173,0
68190,375,0.9461154621336327,1
25258,564,0.37330931627975295,0
107538,754,0.27074467314355377,0
59504,683,0.6439995432390158,0
53159,805,0.4087341710980964,0
33986,666,0.02538635566034486,1
81858,443,0.15615259736619036,0
149312,368,0.7159722288473975,1
32666,398,0.6589239419101514,0
58660,695,0.02709599250348349,0
23561,324,0.22197216193294944,0
46854,768,0.2310747965880714,1
84505,783,0.6718927435987284,0
124488,450,0.019710537754364155,1
72251,443,0.10410858198457384,1
42662,338,0.7999160853731894,1
28392,408,0.1785446620543336,1
50535,341,0.6527461078518747,1
98603,485,0.23818278104672652,1
133569,697,0.09944139275934516,1
72256,522,0.24317219099945409,1
109135,432,0.7222669318556592,1
147478,462,0.8556964681062857,0
55222,514,0.8302198645669916,0
97373,534,0.3971835296184548,0
99575,308,0.6680851365706462,0
143684,373,0.20498429541582097,0
116354,791,0.29314773026101326,1
104651,552,0.8963358185211198,1
83335,529,0.013001923510736035,1
30965,818,0.08550853085446808,1
44538,473,0.20788625514602732,1
128066,467,0.026532203873819715,1
90592,469,0.18143543508979731,1
118018,692,0.5830415609696922,0
133252,493,0.42142455059249795,0
28110,816,0.8926717110769748,0
99309,328,0.8174435617384409,0
47266,464,0.34181735169787597,1
72992,721,0.2594234334312925,1
102948,638,0.3796924081672669,1
142073,795,0.5902949425148077,0
118806,664,0.26806364082287626,1
26910,641,0.624148907849134,1
130989,799,0.4094116521912404,1
110982,810,0.5520471808519802,0
141626,626,0.4361265291353167,1
139176,516,0.29446575954191767,0
20206,600,0.9484533069621567,0
107054,431,0.7636057941597608,0
107897,369,0.14011317576645255,0
142409,551,0.8684679758979128,1
43419,714,0.48743119824951364,0
70636,744,0.8945522268940914,0
142546,481,0.7998552559473152,1
134238,466,0.42521350446923345,1
70015,390,0.022469308320117398,0
137478,830,0.2686773593849461,1
142096,338,0.5416342146608669,0
127059,425,0.6334782198261473,0
74268,750,0.2578876854332023,0
130687,472,0.13935607407282413,0
107939,519,0.8349302367992991,1
38141,357,0.9844021807035521,0
100356,775,0.5256901823026858,1
125878,755,0.1716792858483035,1
91910,660,0.27230732651936895,1
76044,300,0.018390676547466733,1
87214,686,0.914298806560499,0
137930,647,0.11775108289014113,1
139324,489,0.5765164755142536,0
53827,804,0.274055220687206,1
75820,490,0.5541780025157934,1
82623,807,0.6514203883518642,0
101734,668,0.8297418037072016,0
95450,708,0.2064212717606032,0
113426,416,0.010995828658480478,1
137845,433,0.13688563006880727,1
42299,357,0.9000186418481051,0
63585,472,0.8738900775625152,0
129225,448,0.5974131021703083,0
84044,379,0.6005168604336534,0
62557,512,0.6650366745462555,1
69080,502,0.1753712786234496,0
129556,528,0.9144119459249598,0
22693,526,0.4187705248920731,0
115003,831,0.38313852824949746,0
115259,740,0.5189177052828375,1
132235,701,0.046965966775055046,0
89163,346,0.1662833687560794,1
45939,532,0.7380336164263704,0
68925,604,0.08279866792512647,0
62941,825,0.6031521094663882,1
41834,442,0.24534910968132095,0
38047,714,0.38929561404197655,1
46105,812,0.28869373677069987,1
95766,672,0.35567271646494913,0
35707,558,0.7190459051842455,1
41976,770,0.297121715623175,1
64262,311,0.5664046402968972,1
145117,629,0.47605040219909966,1
43776,657,0.6636711653626481,1
50080,707,0.936829739324758,1
148376,672,0.7325720972102503,1
86842,307,0.21494037859075676,1
81373,421,0.031183135061284672,0
26776,647,0.2622640442998251,0
112787,389,0.5950779307002548,1
147948,615,0.05142581348425035,0
75016,477,0.49636624720123634,1
29474,839,0.5968428489168892,1
125830,340,0.3342438908169608,0
78053,801,0.7709122037458219,1
41959,444,0.1065982531337718,1
25530,500,0.07513778173580876,1
114856,760,0.7281887562036033,1
139101,846,0.49549131620619846,0
23748,552,0.688402396427736,1
117504,689,0.4348273386037462,1
118098,555,0.2464020332391068,1
33545,749,0.8191023176741997,0
147659,309,0.7994158789689793,1
86199,541,0.6946964708544268,0
54766,550,0.2721451372299627,0
93530,304,0.5902306668690871,1
113557,418,0.3609738969400268,1
81087,673,0.09158207332663415,0
115839,364,0.9173135754622428,1
136183,445,0.1368186309189614,0
88840,523,0.9502373538208024,0
138451,538,0.44600577295795574,1
74384,476,0.18513292883861965,1
71005,581,0.5419009473783581,0
66576,362,0.8729458358764083,0
59353,516,0.7322248864095612,0
82003,760,0.8065611478614497,0
103211,404,0.6587833667107174,1
72733,398,0.6922765645178525,1
85318,810,0.8491956515653193,1
129953,684,0.24966800885918594,1
109474,704,0.4894249636431405,1
43664,817,0.22120944181960223,0
87172,775,0.987668007996647,1
105616,736,0.9440593396866133,1
145879,322,0.0394268113685059,1
113264,757,0.7055751725156885,1
135386,382,0.9252483174156658,1
46736,444,0.18057534512733353,0
114209,384,0.5679452305526295,0
123041,377,0.9154882975880418,0
132859,756,0.03394597858579884,1
132181,300,0.6974202672468399,0
20854,350,0.29734900737255077,0
110084,745,0.9243961953765304,1
58623,748,0.9710582451653678,1
27392,787,0.9442664891134339,1
75680,333,0.47421421665746377,0
146354,647,0.8620426509893134,0
66717,394,0.8445493985350704,1
139937,371,0.31910047324325563,1
107092,453,0.8289154741506773,0
70859,549,0.03700763471549262,0
145657,737,0.596269878482053,1
124095,417,0.23000883728770305,1
46309,605,0.12056688577727881,0
107455,567,0.07695320162920916,1
83734,353,0.6962887758781398,0
90467,535,0.33987496376806614,0
72662,688,0.7247667715287615,0
118506,700,0.06535634079894237,0
129751,602,0.31529033783061033,1
138906,506,0.5394912923753372,1
32688,528,0.7907231648389635,0
45342,374,0.3187525029320699,0
57157,734,0.6258913764370091,0
87863,402,0.8859777482361871,0
126308,721,0.6158631881823046,0
72083,605,0.23295947475363377,1
126081,397,0.02440078155653802,1
85733,634,0.8700988739009299,1
109045,734,0.021269410850387138,1
54698,746,0.8747016726841994,0
130078,607,0.528937134027212,0
100623,548,0.9390676985128962,0
42671,465,0.7987832357736654,0
45184,780,0.9979341105333375,0
113384,634,0.35071181545171015,1
62107,841,0.7671882889311269,0
106202,405,0.40193091360924216,1
129893,380,0.47987562030390885,1
71663,432,0.6275054632183701,1
35708,437,0.8736771141863388,1
111906,483,0.9840834691992951,0
69811,700,0.7682734138645182,1
22811,629,0.41776678216733376,1
76250,807,0.4213570022770702,1
132547,368,0.7375823015888915,0
92082,845,0.23877714576830233,0
