SqFt,Price
500.0,172.40063148994284
522.6130653266332,438.62295448946224
545.2261306532663,-337.75484915985885
567.8391959798995,855.3582370062197
590.4522613065327,120.29579508897918
613.0653266331658,-798.5156740581856
635.678391959799,811.9096747683759
658.2914572864322,448.92279580159493
680.9045226130653,141.34919160373823
703.5175879396985,41.91467496984944
726.1306532663316,165.7976386563397
748.7437185929648,-37.44714588546927
771.356783919598,168.10401815635984
793.9698492462312,-822.7281496460805
816.5829145728643,1004.2307525936628
839.1959798994975,-168.40784987353643
861.8090452261306,216.45212938144942
884.4221105527638,296.96120508459035
907.035175879397,91.64856125485008
929.6482412060302,39.796685803614025
952.2613065326633,761.8992862788191
974.8743718592965,528.2298348056981
997.4874371859296,25.587016561013456
1020.1005025125628,68.82755130090959
1042.713567839196,451.82417053261855
1065.3266331658292,1110.3592704605196
1087.9396984924624,485.56865754860723
1110.5527638190956,-321.7171644031793
1133.1658291457286,495.0883092680968
1155.7788944723618,821.6104495762045
1178.391959798995,316.2081955739291
1201.005025125628,107.90227826821803
1223.6180904522612,571.3313368563307
1246.2311557788944,277.1810679462051
1268.8442211055276,686.3622702539284
1291.4572864321608,642.655693472044
1314.070351758794,499.3047568368989
1336.6834170854272,-688.0038430216305
1359.2964824120604,318.11815716557135
1381.9095477386936,104.63348235763283
1404.5226130653266,213.646888107272
1427.1356783919598,422.11248938437734
1449.748743718593,844.9680157389921
1472.361809045226,1135.1054197623932
1494.9748743718592,147.37753220125944
1517.5879396984924,1411.734497064972
1540.2010050251256,-278.5157068503137
1562.8140703517588,-195.82589661240252
1585.427135678392,472.54005120928565
1608.0402010050252,1442.9056662605342
1630.6532663316582,-144.6054402497598
1653.2663316582914,-211.99475352169407
1675.8793969849246,111.13919988778184
1698.4924623115578,924.2096895498788
1721.105527638191,342.7757534660274
1743.7185929648242,705.7851055345689
1766.3316582914572,491.7181745289411
1788.9447236180904,664.1546091796396
1811.5577889447236,525.8596574916105
1834.1708542713568,1727.7786068916787
1856.78391959799,553.7364479695877
1879.3969849246232,1089.3489583513979
1902.0100502512562,1498.5628095418792
1924.6231155778894,687.1288869907112
1947.2361809045226,930.1572363058042
1969.8492462311558,860.979260611665
1992.462311557789,-262.0358494522086
2015.075376884422,898.7988260281676
2037.6884422110552,1111.9764727016304
2060.3015075376884,-170.23081453490943
2082.9145728643216,1085.889995268707
2105.527638190955,736.4450314817484
2128.140703517588,275.8312168225358
2150.7537688442208,1758.8332706064243
2173.3668341708544,-72.63485736086602
2195.979899497487,876.2268589261084
2218.592964824121,1400.2478092029291
2241.2060301507536,709.3344195602419
2263.8190954773872,362.8449200146549
2286.43216080402,1048.8424558452807
2309.045226130653,155.7581917614474
2331.6582914572864,788.6953103107686
2354.2713567839196,847.9854691779733
2376.884422110553,1311.9180527761835
2399.497487437186,1643.6018729129337
2422.110552763819,994.0847167114049
2444.723618090452,1590.056523607855
2467.3366834170856,554.9473685385943
2489.9497487437184,1847.5318985150748
2512.562814070352,1400.625157453615
2535.175879396985,1178.6748604140273
2557.788944723618,1484.936200570718
2580.402010050251,1409.53194594442
